timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763974030299,991,User Login,200,OK,100 Concurrent Users 1-1,text,true,,1387,288,21,21,http://localhost:3002/api/auth/login,986,0,8
1763974032308,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-1,text,false,,1208,0,31,31,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974030469,2035,User Login,200,OK,100 Concurrent Users 1-3,text,true,,1387,288,33,33,http://localhost:3002/api/auth/login,2035,0,0
1763974030569,2862,User Login,200,OK,100 Concurrent Users 1-4,text,true,,1389,288,42,42,http://localhost:3002/api/auth/login,2862,0,0
1763974033509,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-3,text,false,,1208,0,43,43,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974030768,3271,User Login,200,OK,100 Concurrent Users 1-6,text,true,,1387,288,48,48,http://localhost:3002/api/auth/login,3271,0,0
1763974030867,3461,User Login,200,OK,100 Concurrent Users 1-7,text,true,,1389,288,51,51,http://localhost:3002/api/auth/login,3460,0,1
1763974034433,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-4,text,false,,1208,0,52,52,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974035042,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-6,text,false,,1208,0,58,58,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974030368,4902,User Login,200,OK,100 Concurrent Users 1-2,text,true,,1389,288,61,61,http://localhost:3002/api/auth/login,4902,0,1
1763974035329,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-7,text,false,,1208,0,61,61,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974031372,4004,User Login,200,OK,100 Concurrent Users 1-12,text,true,,1385,288,62,62,http://localhost:3002/api/auth/login,4004,0,1
